Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
03ba29d5cb38d345357a74a7b5ccd759-20-100-lambda100-49_sat,20396,157341,157341,0,-1,-1,-1,9.442,9.646,0,0.12,10.00,0,1227,407,3.988,3.934,0.000,0.000,0,69,0,0,0,0
03bb7baaa45980753a0e7050ae44755d-atco_enc3_opt1_03_53,1296235,3987169,3987169,0,-1,-1,-1,103.057,105.019,0,2.62,111.38,0,2784,14,74.344,73.909,0.000,0.000,0,6,0,0,0,0
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre,15232,147244,147244,0,-1,-1,-1,11.873,11.967,0,0.10,12.24,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03c5fef8cb8957ecf687548c8d504d10-SGI_30_80_21_90_2-log.shuffled-as.sat03-198,105,36422,36422,0,-1,-1,-1,0.016,0.122,0,0.04,0.24,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03c8a9ffce923a8cb3452f18d371eacf-rook-55-0-1,172312,668242,668242,0,-1,-1,-1,20.258,20.641,0,0.40,21.94,0,0,2,2.507,2.406,0.000,0.000,0,2,0,0,0,0
03cb9868146a1c420ba8e3b1b08865b8-3col300_5_2.shuffled,600,2520,2520,0,-1,-1,-1,0.002,0.005,0,0.02,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03d1d6df36fdec5be7b60e6f0cd382f7-3col280_5_8.shuffled,560,2350,2350,0,-1,-1,-1,0.002,0.004,0,0.01,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03d8064f3be30daecf2ffe4c54361e61-edges-025-4-7932777-1-00,101,212,212,0,-1,-1,-1,0.001,0.002,0,0.01,0.01,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03d93f5c0378205e17260e16e463ac67-TimetableCNFEncoding_5_UNKNOWN-sc2018,302576,1667640,1667640,0,-1,-1,-1,1007.190,1009.787,0,1.14,1014.08,0,37,822,972.057,969.869,0.000,0.000,0,122,0,0,0,0
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248,598,14076,14076,0,-1,-1,-1,0.113,0.119,0,0.01,0.15,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled,108,252,252,0,-1,-1,-1,0.001,0.002,0,0.00,0.01,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
03fb9af7b390fe9e0739150ca3410cf0-4g_5color_166_100_02,166000,73351130,73351130,0,-1,-1,-1,2249.266,2304.306,0,31.54,2434.91,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
