success,real_time,size,bound,encoding,verification,conflicts
true,2.537,950,475,totalizer,0,0
true,6.812,1000,250,cardnetwrk,0,0
true,4.294,1000,500,cardnetwrk,0,0
true,0.137,100,25,cardnetwrk,0,0
true,0.503,100,25,cardnetwrk,1,11584
false,0.000,100,25,cardnetwrk,2,0
true,0.112,100,50,cardnetwrk,0,0
true,0.496,100,50,cardnetwrk,1,14319
false,0.000,100,50,cardnetwrk,2,0
true,16.231,1050,262,cardnetwrk,0,0
true,14.384,1050,525,cardnetwrk,0,0
true,16.225,1100,275,cardnetwrk,0,0
true,11.559,1100,550,cardnetwrk,0,0
true,20.213,1150,287,cardnetwrk,0,0
true,20.331,1150,575,cardnetwrk,0,0
true,18.555,1200,300,cardnetwrk,0,0
true,16.563,1200,600,cardnetwrk,0,0
true,18.450,1250,312,cardnetwrk,0,0
true,18.737,1250,625,cardnetwrk,0,0
false,0.000,125,31,cardnetwrk,2,0
false,0.000,125,62,cardnetwrk,2,0
true,21.723,1300,325,cardnetwrk,0,0
true,12.522,1300,650,cardnetwrk,0,0
true,20.377,1350,337,cardnetwrk,0,0
true,21.305,1350,675,cardnetwrk,0,0
true,20.973,1400,350,cardnetwrk,0,0
true,19.675,1400,700,cardnetwrk,0,0
true,22.715,1450,362,cardnetwrk,0,0
true,21.635,1450,725,cardnetwrk,0,0
true,22.894,1500,375,cardnetwrk,0,0
true,20.333,1500,750,cardnetwrk,0,0
true,0.305,150,37,cardnetwrk,0,0
true,2.219,150,37,cardnetwrk,1,33213
false,0.000,150,37,cardnetwrk,2,0
true,0.304,150,75,cardnetwrk,0,0
true,3.150,150,75,cardnetwrk,1,51876
false,980.830,150,75,cardnetwrk,2,0
true,24.518,1550,387,cardnetwrk,0,0
true,25.674,1550,775,cardnetwrk,0,0
true,25.268,1600,400,cardnetwrk,0,0
true,23.678,1600,800,cardnetwrk,0,0
true,25.395,1650,412,cardnetwrk,0,0
true,25.474,1650,825,cardnetwrk,0,0
true,27.016,1700,425,cardnetwrk,0,0
true,24.579,1700,850,cardnetwrk,0,0
true,27.332,1750,437,cardnetwrk,0,0
true,28.256,1750,875,cardnetwrk,0,0
false,0.000,175,43,cardnetwrk,2,0
false,0.000,175,87,cardnetwrk,2,0
true,26.421,1800,450,cardnetwrk,0,0
true,25.979,1800,900,cardnetwrk,0,0
true,28.370,1850,462,cardnetwrk,0,0
true,28.959,1850,925,cardnetwrk,0,0
true,29.347,1900,475,cardnetwrk,0,0
true,28.558,1900,950,cardnetwrk,0,0
true,30.469,1950,487,cardnetwrk,0,0
true,33.499,1950,975,cardnetwrk,0,0
true,32.866,2000,1000,cardnetwrk,0,0
true,17.820,2000,1000,kmtotalizer,0,0
true,379.741,2000,1000,seqcounter,0,0
true,18.045,2000,1000,totalizer,0,0
true,32.845,2000,500,cardnetwrk,0,0
true,6.146,2000,500,kmtotalizer,0,0
true,228.511,2000,500,seqcounter,0,0
true,15.225,2000,500,totalizer,0,0
true,0.312,200,100,cardnetwrk,0,0
true,6.186,200,100,cardnetwrk,1,102727
false,0,200,100,cardnetwrk,2,0
false,0.000,200,100,kmtotalizer,2,0
true,52.218,200,100,seqcounter,2,0
false,0.000,200,100,totalizer,2,0
true,0.359,200,50,cardnetwrk,0,0
true,7.224,200,50,cardnetwrk,1,100643
false,0,200,50,cardnetwrk,2,0
false,0.000,200,50,kmtotalizer,2,0
true,23.999,200,50,seqcounter,2,0
false,0.000,200,50,totalizer,2,0
true,0.364,250,125,cardnetwrk,0,0
true,8.024,250,125,cardnetwrk,1,104439
false,0.000,250,125,cardnetwrk,2,0
true,0.403,250,62,cardnetwrk,0,0
true,8.485,250,62,cardnetwrk,1,96547
false,0.000,250,62,cardnetwrk,2,0
true,0.745,25,12,cardnetwrk,2,0
true,0.542,25,6,cardnetwrk,2,0
true,0.712,300,150,cardnetwrk,0,0
true,45.290,300,150,cardnetwrk,1,442543
false,0.000,300,150,cardnetwrk,2,0
true,0.812,300,75,cardnetwrk,0,0
true,26.060,300,75,cardnetwrk,1,211838
false,0.000,300,75,cardnetwrk,2,0
true,0.881,350,175,cardnetwrk,0,0
true,56.993,350,175,cardnetwrk,1,423641
false,0.000,350,175,cardnetwrk,2,0
true,0.945,350,87,cardnetwrk,0,0
true,57.756,350,87,cardnetwrk,1,385154
false,0.000,350,87,cardnetwrk,2,0
true,0.979,400,100,cardnetwrk,0,0
true,119.277,400,100,cardnetwrk,1,824682
false,0,400,100,cardnetwrk,2,0
false,0.000,400,100,kmtotalizer,2,0
true,404.527,400,100,seqcounter,2,0
false,0.000,400,100,totalizer,2,0
true,0.857,400,200,cardnetwrk,0,0
