Filename,exit_code,real_time,solve_real_time,SAT_verified
073c28dfd3204f4c51e03c297ac841c1-mod2c-rand3bip-unsat-120-3.shuffled-as.sat05-2340,20,47.85,47.85,0,47.85
075c4fe7ae4cef57f1a4c00e58142e23-x1.1_64.shuffled-as.sat03-1585,0,5000.04,5000.03,0,5000.04
075e1eef00500b25ceb5ea4823ccf1b0-3col140_5_1.shuffled,10,0.03,0.03,0,0.03
076305ce31dd18724a3de91045800acc-26_stack_cas_longest_true-unreach-call.i-cbmc-u2-sc2016,10,832.35,827.47,0,832.35
07682e22f82f9257d44b45777ac06168-lksat-n900-m3357-k3-l5-s241765501.used-as.sat04-936,10,0.10,0.09,0,0.10
076d4d6f83306ee69c35e3c99e30d8f8-x2_16.shuffled,20,0.02,0.01,0,0.02
076fba8945d3a54a06f326474477077d-mrpp_6x6#12_9,10,0.50,0.50,0,0.50
0779cddacfa34241cdf579cb2370ab8e-instance_n8_i9_pp_ci_ce,10,2517.12,2517.11,0,2517.12
0779ed19ae69bf464cce003d1a573246-008,10,706.85,706.84,0,706.85
07851afab30a10e44c8c3a2ae7806177-connm-ue-csp-sat-n1200-d0.00-s1415961664.shuffled-as.sat05-529,0,5000.01,5000.00,0,5000.01
079b400eede86df1f1ffd6a3c303278b-hypercube5.shuffled-as.sat03-1435,20,2915.10,2915.09,0,2915.10
079fec8d04a6ee936227ea90ea0903bf-tseitingrid6x175_shuffled,0,5000.04,5000.02,0,5000.04
07b476c83150d3cb7e08f5d045e255ab-marg5x5.shuffled-as.sat03-1455,0,5000.02,5000.02,0,5000.02
07bbbb292324c8d8baeb232e144349fa-rand_net40-60-1.shuffled,20,0.03,0.02,0,0.03
07c3cce524e2b85d8315ac4397ef08c4-puzzle47_sat,0,5000.02,5000.01,0,5000.02
07c50b89d97a55b6e1629999a445a2ba-ctl_4201_555_unsat_pre,20,1270.38,1270.37,0,1270.38
07cb45c60089b9008bf3118591a99bf9-hidden-k3-s0-r5-n700-03-S1609878926.shuffled-as.sat05-487,0,5000.01,5000.00,0,5000.01
07d20a83feca9295e862a7d583da5971-UTI-20-10t1,10,4.39,4.37,0,4.39
07e851c74295f7ddf472820c0f0164e8-x2_72.shuffled-as.sat03-1604,0,5000.01,5000.00,0,5000.01
07f5f3ca046261c3819c5c888ac837e5-mod2c-rand3bip-unsat-105-3.shuffled-as.sat05-2325,20,5.16,5.15,0,5.16
08063f5baf6655656a300c946aaaca60-gt-ordering-unsat-gt-045.sat05-1310.reshuffled-07,20,0.78,0.78,0,0.78
080896c437245ac25eb6d3ad6df12c4f-bv-term-small-rw_1492.smt2,10,0.09,0.09,0,0.09
0810eb03d022334fdd1d5a6ad4969d47-gss-18-s100,10,6.29,6.28,0,6.29
08300e286c3380f7e7291ca6a534c97b-comb3.shuffled,20,1.77,1.77,0,1.77
083030713683d8ab8e1d54372f241863-Kakuro-easy-089-ext.xml.hg_4,10,128.57,128.40,0,128.57
0831000a5a9727aa5fa3332df10cdb57-edn_20403_12.cnf_0.08000000.unsat,20,0.56,0.55,0,0.56
0842eb01dc00232edc0b26ccb2f19f25-6-4-6-sc2018,0,5000.01,5000.00,0,5000.01
08469bbccc41da0c124d69c61ce7dc58-barman-pfile07-027.sas.cr.37,20,57.00,56.94,0,57.00
084f6e6da7f9c5125d6f28a044b6225c-ccp-s8-facto3,0,5000.04,5000.02,0,5000.04
0850db65220080c130d2f54005f9e2b3-dspam_dump_vc972,20,4.87,4.72,0,4.87
08530caa5c9232f2ffc5163cf79b38e7-satcoin-genesis-SAT-64,0,5000.07,5000.04,0,5000.07
